0	a				alt
0	ab				alt.binaries
0	abp			alt.binaries.pictures
0	abpe			alt.binaries.pictures.erotica
0	abs			alt.binaries.sounds
0	abw			alt.binaries.warez
0	music			alt.binaries.music
0	multimedia	alt.binaries.multimedia
0	pictures		alt.binaries.pictures
0	sounds		alt.binaries.sounds
0	warez			alt.binaries.warez
1	b				binaries
1	bp				binaries.pictures
1	bpe			binaries.pictures.erotica
1	bs				binaries.sounds
1	bw				binaries.warez
2	p				pictures
2	w				warez
2	pe				pictures.erotica
2	s				sounds
3	e				erotica
